SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30000203,NEC W SELECCION FRAM 6X1.75LT,WATT'S,"NECTAR SELECCIÓN 1,75",JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.224,0.2028256289503037,0.042,0.042,0.0,0.0,0.082939
30000204,NEC W SELECC MGO/MCYA 6X1.75LT,WATT'S,"NECTAR SELECCIÓN 1,75",JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.19775,0.1123435369934317,0.0315,0.0315,0.0,0.0,0.155884
30000205,"JUGO FRESCO NARANJA 6X1,75LT",WATT'S,"JUGOS FRESCOS 1,75",JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.41125,0.6,0.084,0.063,0.021,0.0,0.282788
30000210,"JUGO EXPRIMIDO WATTS NJA 6X1,7LT",WATT'S,JUGOS EXPRIMIDOS,JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.528992,0.6794081381011096,0.14326,0.03306000000000001,0.1102,0.0,0.153868
30000211,"NECTAR W SELECC PIÑA/COCO 6X1,75LT",WATT'S,"NECTAR SELECCIÓN 1,75",JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.098,0.05951171148841246,0.0,0.0,0.0,0.0,0.08194
30000226,"JUGO UVA Y FRUTOS ROJOS 6X1,75LT",WATT'S,JUGOS EXPRIMIDOS,JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.0945,0.04660912453760788,0.0,0.0,0.0,0.0,0.071947
30000238,JUGO FRESCO NARANJA 6X1LT,WATT'S,JUGOS FRESCOS,JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.197,0.4954336772473713,0.06,0.036,0.024,0.0,0.186
30000239,JUGO FRESCO PINA 6X1LT,WATT'S,JUGOS FRESCOS,JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.061,0.2,0.006,0.0,0.006,0.0,0.066
30000250,JUGO FRESCO ARÁNDANO 6X1LT,WATT'S,JUGOS EXPRIMIDOS,JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.116,0.0739827373612824,0.018,0.018,0.0,0.0,0.066
30000251,NEC W SELECCION GUAYABA 6X1LT,WATT'S,NECTAR SELECCIÓN,JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.056,0.1873838145990829,0.006,0.006,0.0,0.0,0.066
30000252,NEC W SELECCION FRAMBUESA 6X1LT,WATT'S,NECTAR SELECCIÓN,JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.22,0.5149584830834055,0.126,0.024,0.102,0.0,0.108
30000253,NEC W SELECCION MGO/MCYA 6X1LT,WATT'S,NECTAR SELECCIÓN,JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.182,0.2470690296195316,0.078,0.078,0.0,0.0,0.096
30000261,"FRUGO FRUTILLA 6X1,75LT",FRUGO,BEBIDA FANTASÍA,FRUGO,Canal Tradicional,202501,202501,0.273,0.2731481481481481,0.0315,0.0,0.0315,0.0,0.127906
30000262,"FRUGO PIÑA 6X1,75LT",FRUGO,BEBIDA FANTASÍA,FRUGO,Canal Tradicional,202501,202501,0.35,0.2572751322751322,0.021,0.021,0.0,0.0,0.196856
30000264,"FRUGO NARANJA 6X1,75LT",FRUGO,BEBIDA FANTASÍA,FRUGO,Canal Tradicional,202501,202501,0.315,0.3783068783068784,0.021,0.021,0.0,0.0,0.260805
30000265,"FRUGO BERRIES 6X1,75LT",FRUGO,BEBIDA FANTASÍA,FRUGO,Canal Tradicional,202501,202501,0.2275,0.2,0.0315,0.0315,0.0,0.0,0.186862
30000266,"FRUGO MARACUYA 6X1,75LT",FRUGO,BEBIDA FANTASÍA,FRUGO,Canal Tradicional,202501,202501,0.21175,0.2460317460317461,0.021,0.021,0.0,0.0,0.177869
30001437,NEC W SELECCION PAPAYA 6X1.75LT,WATT'S,"NECTAR SELECCIÓN 1,75",JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.09625,0.07590779526583223,0.0,0.0,0.0,0.0,0.050963
30001939,"JUGO FRESCO WATTS NJA MIX 6X1,6LT",WATT'S,"JUGOS FRESCOS 1,75",JUGOS Y NECTARES,Canal Tradicional,202501,202501,0.1184,0.0,0.0,0.0,0.0,0.0,0.0
30000203,NEC W SELECCION FRAM 6X1.75LT,WATT'S,"NECTAR SELECCIÓN 1,75",JUGOS Y NECTARES,Cencosud,202501,202501,2.373,3.472811011623429,2.52,1.3125,1.176,0.0315,3.535
30000204,NEC W SELECC MGO/MCYA 6X1.75LT,WATT'S,"NECTAR SELECCIÓN 1,75",JUGOS Y NECTARES,Cencosud,202501,202501,2.73,2.948934271419365,2.121,1.9635,0.105,0.0525,2.955716
30000205,"JUGO FRESCO NARANJA 6X1,75LT",WATT'S,"JUGOS FRESCOS 1,75",JUGOS Y NECTARES,Cencosud,202501,202501,12.6735,15.0,8.799,8.4315,0.0,0.3675,12.0715
30000210,"JUGO EXPRIMIDO WATTS NJA 6X1,7LT",WATT'S,JUGOS EXPRIMIDOS,JUGOS Y NECTARES,Cencosud,202501,202501,4.47412,4.0,4.066380000000001,3.55946,0.3857,0.12122,4.134386000000001
30000211,"NECTAR W SELECC PIÑA/COCO 6X1,75LT",WATT'S,"NECTAR SELECCIÓN 1,75",JUGOS Y NECTARES,Cencosud,202501,202501,1.6275,1.611722009623473,1.9845,0.9345,1.0185,0.0315,1.582
30000226,"JUGO UVA Y FRUTOS ROJOS 6X1,75LT",WATT'S,JUGOS EXPRIMIDOS,JUGOS Y NECTARES,Cencosud,202501,202501,0.48475,1.1,2.058,0.4935,1.5435,0.021,0.9484830000000001
30000238,JUGO FRESCO NARANJA 6X1LT,WATT'S,JUGOS FRESCOS,JUGOS Y NECTARES,Cencosud,202501,202501,2.076,2.323076923076923,1.968,1.884,0.048,0.036,1.984
30000239,JUGO FRESCO PINA 6X1LT,WATT'S,JUGOS FRESCOS,JUGOS Y NECTARES,Cencosud,202501,202501,0.03,0.7,0.048,0.0,0.036,0.012,0.408
30000240,JUGO FRESCO NARANJA LIGHT 6X1LT,WATT'S,JUGOS FRESCOS,JUGOS Y NECTARES,Cencosud,202501,202501,0.0,0.0,0.276,0.0,0.276,0.0,0.0
