SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30000041,ACEITE BELMONT 4X5LT,BELMONT,ACEITE BELMONT BIDON,ACEITE VEGETAL,Canal Tradicional,202501,202501,0.2576000000000001,0.55,0.092,0.092,0.0,0.0,0.438211
30000057,ACEITE CHEF MARAVILLA 4X5LT,CHEF,ACEITE CHEF BIDON,ACEITE MARAVILLA,Canal Tradicional,202501,202501,1.503125,3.5,0.6845,0.6845,0.0,0.0,0.600399
30000041,ACEITE BELMONT 4X5LT,BELMONT,ACEITE BELMONT BIDON,ACEITE VEGETAL,Supermercados Region,202501,202501,0.092,0.0,0.0736,0.0736,0.0,0.0,0.329406
30000057,ACEITE CHEF MARAVILLA 4X5LT,CHEF,ACEITE CHEF BIDON,ACEITE MARAVILLA,Supermercados Region,202501,202501,0.0925,0.0,0.037,0.037,0.0,0.0,0.346653
30000041,ACEITE BELMONT 4X5LT,BELMONT,ACEITE BELMONT BIDON,ACEITE VEGETAL,Unimarc,202501,202501,0.9936,1.43,0.9936,0.9936,0.0,0.0,1.1546
30000057,ACEITE CHEF MARAVILLA 4X5LT,CHEF,ACEITE CHEF BIDON,ACEITE MARAVILLA,Unimarc,202501,202501,0.0,0.6,0.0,0.0,0.0,0.0,0.6012500000000001
30000041,ACEITE BELMONT 4X5LT,BELMONT,ACEITE BELMONT BIDON,ACEITE VEGETAL,Walmart,202501,202501,2.484,1.43,1.4904,1.4904,0.0,0.0,1.3478
30000028,ACEITE CHEF VEGETAL 16X1LT,CHEF,ACEITE CHEF MASIVO,ACEITE VEGETAL,Alvi,202501,202501,0.0,0.0,0.0,0.0,0.0,0.0,0.05427999999999999
30000038,ACEITE BELMONT 12X1LT,BELMONT,ACEITE BELMONT MASIVO,ACEITE VEGETAL,Alvi,202501,202501,5.497920000000001,1.0,0.0,0.0,0.0,0.0,4.78216
30000039,ACEITE BELMONT 10X250ML,BELMONT,ACEITE BELMONT TRADICIONAL,ACEITE VEGETAL,Alvi,202501,202501,0.0,0.3,0.0,0.0,0.0,0.0,0.28819
30000049,ACEITE CHEF MARAVILLA 12X1LT,CHEF,ACEITE CHEF MASIVO,ACEITE MARAVILLA,Alvi,202501,202501,5.7408,1.0,0.0,0.0,0.0,0.0,3.78212
30000053,ACEITE CHEF OLIVA 12X1LT,CHEF,ACEITE CHEF FAMILIAR,ACEITE OLIVA,Alvi,202501,202501,0.0,0.01,0.0,0.0,0.0,0.0,0.0
30001363,ACEITE CHEF EXTRAVIRGEN 12X250ML,CHEF,ACEITE CHEF TRADICIONAL,ACEITE OLIVA,Alvi,202501,202501,0.0,0.3,0.0,0.0,0.0,0.0,0.02346
30001365,ACEITE CHEF EXTRAVIRGEN 12X500ML,CHEF,ACEITE CHEF TRADICIONAL,ACEITE OLIVA,Alvi,202501,202501,0.1017,0.044,0.06780000000000001,0.06780000000000001,0.0,0.0,0.08948399999999998
30001780,ACEITE BELMONT CANOLA 12X900ML,BELMONT,ACEITE BELMONT TRADICIONAL,ACEITE CANOLA,Alvi,202501,202501,0.476928,0.5,0.476928,0.476928,0.0,0.0,0.3519
30001881,ACEITE CHEF OLIVA MARAVILLA 12X1LT,CHEF,ACEITE CHEF OLIVA,ACEITE OLIVA,Alvi,202501,202501,0.0,0.23,0.26496,0.0,0.0,0.26496,0.04600000000000001
30000028,ACEITE CHEF VEGETAL 16X1LT,CHEF,ACEITE CHEF MASIVO,ACEITE VEGETAL,Canal Tradicional,202501,202501,0.06624,0.0,0.0,0.0,0.0,0.0,0.0
30000038,ACEITE BELMONT 12X1LT,BELMONT,ACEITE BELMONT MASIVO,ACEITE VEGETAL,Canal Tradicional,202501,202501,28.69388,40.0,3.1464,3.1464,0.0,0.0,19.60178000000001
30000039,ACEITE BELMONT 10X250ML,BELMONT,ACEITE BELMONT TRADICIONAL,ACEITE VEGETAL,Canal Tradicional,202501,202501,4.18899,4.1,0.4876,0.4876,0.0,0.0,0.230006
30000043,ACEITE BELMONT FREIR 12X1LT,BELMONT,ACEITE BELMONT OTROS,OTROS ACEITES,Canal Tradicional,202501,202501,0.10396,0.5,0.06624,0.06624,0.0,0.0,0.154003
30000045,ACEITE MAZOLA MAIZ 12X1LT,MAZOLA,ACEITE MAZOLA,OTROS ACEITES,Canal Tradicional,202501,202501,0.00368,0.0,0.0,0.0,0.0,0.0,0.033
30000046,ACEITE MAZOLA CANOLA 12X1LT,MAZOLA,ACEITE MAZOLA,ACEITE CANOLA,Canal Tradicional,202501,202501,0.07636,0.1,0.04416,0.04416,0.0,0.0,0.209003
30000049,ACEITE CHEF MARAVILLA 12X1LT,CHEF,ACEITE CHEF MASIVO,ACEITE MARAVILLA,Canal Tradicional,202501,202501,28.93124,35.0,3.8088,3.8088,0.0,0.0,29.099159
30000050,ACEITE CHEF MARAVILLA 30X500ML,CHEF,ACEITE CHEF TRADICIONAL,ACEITE MARAVILLA,Canal Tradicional,202501,202501,0.0138,0.4,0.138,0.0,0.138,0.0,0.224013
30000052,ACEITE CHEF MAIZ 12X1LT,CHEF,ACEITE CHEF FAMILIAR,OTROS ACEITES,Canal Tradicional,202501,202501,0.069375,0.4,0.0222,0.0222,0.0,0.0,0.153986
30000053,ACEITE CHEF OLIVA 12X1LT,CHEF,ACEITE CHEF FAMILIAR,ACEITE OLIVA,Canal Tradicional,202501,202501,0.03145,1.0,0.0111,0.0111,0.0,0.0,0.175985
30000054,ACEITE CHEF PEPITA UVA 12X1LT,CHEF,ACEITE CHEF FAMILIAR,OTROS ACEITES,Canal Tradicional,202501,202501,0.34868,0.8181818181818182,0.17664,0.17664,0.0,0.0,0.561015
30000055,ACEITE CHEF PEPITA UVA 30X500ML,CHEF,ACEITE CHEF TRADICIONAL,OTROS ACEITES,Canal Tradicional,202501,202501,0.21022,0.4840000000000002,0.05520000000000001,0.05520000000000001,0.0,0.0,0.307017
30001362,ACEITE CHEF EXTRAVIRGEN 6X1LT,CHEF,ACEITE CHEF FAMILIAR,ACEITE OLIVA,Canal Tradicional,202501,202501,0.23828,0.5,0.03864,0.03864,0.0,0.0,0.319009
30001363,ACEITE CHEF EXTRAVIRGEN 12X250ML,CHEF,ACEITE CHEF TRADICIONAL,ACEITE OLIVA,Canal Tradicional,202501,202501,0.07958,0.15,0.03312,0.03312,0.0,0.0,0.08900100000000001
30001365,ACEITE CHEF EXTRAVIRGEN 12X500ML,CHEF,ACEITE CHEF TRADICIONAL,ACEITE OLIVA,Canal Tradicional,202501,202501,0.315011,0.6599999999999999,0.1017,0.1017,0.0,0.0,0.294011
30001780,ACEITE BELMONT CANOLA 12X900ML,BELMONT,ACEITE BELMONT TRADICIONAL,ACEITE CANOLA,Canal Tradicional,202501,202501,0.119232,0.6,0.04968,0.04968,0.0,0.0,0.4570970000000001
30001881,ACEITE CHEF OLIVA MARAVILLA 12X1LT,CHEF,ACEITE CHEF OLIVA,ACEITE OLIVA,Canal Tradicional,202501,202501,0.06624,0.05,0.02208,0.02208,0.0,0.0,0.165004
30000038,ACEITE BELMONT 12X1LT,BELMONT,ACEITE BELMONT MASIVO,ACEITE VEGETAL,Cencosud,202501,202501,17.32176,20.0,11.10624,11.10624,0.0,0.0,26.644867
30000043,ACEITE BELMONT FREIR 12X1LT,BELMONT,ACEITE BELMONT OTROS,OTROS ACEITES,Cencosud,202501,202501,0.23184,0.4,0.1766399999999999,0.1766399999999999,0.0,0.0,0.37352
30000049,ACEITE CHEF MARAVILLA 12X1LT,CHEF,ACEITE CHEF MASIVO,ACEITE MARAVILLA,Cencosud,202501,202501,13.54608,20.0,7.47408,7.47408,0.0,0.0,35.19641900000001
30000052,ACEITE CHEF MAIZ 12X1LT,CHEF,ACEITE CHEF FAMILIAR,OTROS ACEITES,Cencosud,202501,202501,0.2886,0.4,0.1776,0.1776,0.0,0.0,0.293225
30000053,ACEITE CHEF OLIVA 12X1LT,CHEF,ACEITE CHEF FAMILIAR,ACEITE OLIVA,Cencosud,202501,202501,0.1332,0.5,0.111,0.111,0.0,0.0,0.331132
30000054,ACEITE CHEF PEPITA UVA 12X1LT,CHEF,ACEITE CHEF FAMILIAR,OTROS ACEITES,Cencosud,202501,202501,1.18128,1.2,1.09296,1.09296,0.0,0.0,1.832487
30000055,ACEITE CHEF PEPITA UVA 30X500ML,CHEF,ACEITE CHEF TRADICIONAL,OTROS ACEITES,Cencosud,202501,202501,0.5244,0.6050000000000001,0.2898000000000001,0.2898000000000001,0.0,0.0,0.5762430000000001
30001362,ACEITE CHEF EXTRAVIRGEN 6X1LT,CHEF,ACEITE CHEF FAMILIAR,ACEITE OLIVA,Cencosud,202501,202501,0.18216,0.7,0.12696,0.12696,0.0,0.0,0.6053330000000001
30001365,ACEITE CHEF EXTRAVIRGEN 12X500ML,CHEF,ACEITE CHEF TRADICIONAL,ACEITE OLIVA,Cencosud,202501,202501,0.7684,1.43,0.6949500000000001,0.48025,0.0,0.2147,1.414965
30001780,ACEITE BELMONT CANOLA 12X900ML,BELMONT,ACEITE BELMONT TRADICIONAL,ACEITE CANOLA,Cencosud,202501,202501,0.9041760000000001,1.3,0.5166719999999999,0.5166719999999999,0.0,0.0,1.377767
30001881,ACEITE CHEF OLIVA MARAVILLA 12X1LT,CHEF,ACEITE CHEF OLIVA,ACEITE OLIVA,Cencosud,202501,202501,0.62928,1.1,0.58512,0.58512,0.0,0.0,0.7764080000000001
30000038,ACEITE BELMONT 12X1LT,BELMONT,ACEITE BELMONT MASIVO,ACEITE VEGETAL,Industrial Y Food Service,202501,202501,0.5851200000000001,0.0,0.0,0.0,0.0,0.0,0.0
30000043,ACEITE BELMONT FREIR 12X1LT,BELMONT,ACEITE BELMONT OTROS,OTROS ACEITES,Industrial Y Food Service,202501,202501,0.05520000000000001,0.0,0.05520000000000001,0.05520000000000001,0.0,0.0,0.0
