SKU,mes_label,volumen
20000132,Enero 2026,1.237
20000132,Febrero 2026,4.077
20000132,Marzo 2026,0.66
20000132,Abril 2026,1.317
20000132,Mayo 2026,1.59
20000132,Junio 2026,2.935
20000132,Julio 2026,0.582
20000132,Agosto 2026,0.034
20000132,Septiembre 2026,3.327
20000132,Octubre 2026,3.404
20000132,Noviembre 2026,3.404
20000132,Diciembre 2026,3.404
20000132,Enero 2027,0.712
20000132,Febrero 2027,1.838
20000132,Marzo 2027,1.162
20000132,Abril 2027,1.319
20000132,Mayo 2027,1.305
20000132,Junio 2027,1.689
20000132,Julio 2027,1.475
20000132,Agosto 2027,1.137
20000132,Septiembre 2027,1.884
20000132,Octubre 2027,3.312
20000132,Noviembre 2027,2.138
20000132,Diciembre 2027,11.257
20000382,Enero 2026,16.5
20000382,Abril 2026,18.825
20000382,Enero 2027,16.5
20000382,Abril 2027,19.0
20000476,Enero 2026,13.44
20000476,Febrero 2026,38.9
20000476,Marzo 2026,5.08
20000476,Abril 2026,18.21
20000476,Mayo 2026,2.49
20000476,Junio 2026,9.59
20000476,Julio 2026,3.24
20000476,Agosto 2026,31.579
20000476,Septiembre 2026,20.0
20000476,Octubre 2026,20.0
20000476,Noviembre 2026,30.0
20000476,Diciembre 2026,30.0
20000476,Enero 2027,20.0
20000476,Febrero 2027,20.0
20000476,Marzo 2027,20.0
20000476,Abril 2027,20.0
20000476,Mayo 2027,2.49
20000476,Junio 2027,9.59
20000476,Julio 2027,8.333
20000476,Agosto 2027,10.0
20000476,Septiembre 2027,20.0
20000476,Octubre 2027,20.0
20000476,Noviembre 2027,30.0
20000476,Diciembre 2027,30.0
20000585,Enero 2026,224.75
20000585,Febrero 2026,59.0
20000585,Marzo 2026,120.9
20000585,Abril 2026,222.25
20000585,Mayo 2026,174.0
20000585,Junio 2026,267.5
20000585,Julio 2026,155.0
20000585,Agosto 2026,126.806
20000585,Septiembre 2026,61.0
20000585,Octubre 2026,36.0
20000585,Noviembre 2026,50.0
20000585,Diciembre 2026,50.0
20000585,Enero 2027,135.116
20000585,Febrero 2027,84.39
20000585,Marzo 2027,88.78
20000585,Abril 2027,132.616
20000585,Mayo 2027,109.976
20000585,Junio 2027,152.256
20000585,Julio 2027,105.585
20000585,Agosto 2027,96.585
20000585,Septiembre 2027,72.195
20000585,Octubre 2027,60.0
20000585,Noviembre 2027,60.0
20000585,Diciembre 2027,50.0
20000605,Marzo 2026,54.0
20000605,Abril 2026,18.0
20000605,Mayo 2026,18.0
20000605,Marzo 2027,54.0
20000605,Abril 2027,18.0
20000605,Mayo 2027,18.0
30000006,Enero 2026,13.929
30000006,Febrero 2026,1.89
30000006,Marzo 2026,15.186
30000006,Abril 2026,9.989
30000006,Mayo 2026,8.087
30000006,Junio 2026,10.767
30000006,Julio 2026,7.286
30000006,Agosto 2026,12.881
30000006,Septiembre 2026,7.346
30000006,Octubre 2026,9.098
30000006,Noviembre 2026,11.241
30000006,Diciembre 2026,12.197
30000006,Enero 2027,11.91
30000006,Febrero 2027,11.248
30000006,Marzo 2027,10.249
30000006,Abril 2027,8.713
30000006,Mayo 2027,8.186
30000006,Junio 2027,7.219
30000006,Julio 2027,7.829
30000006,Agosto 2027,7.999
30000006,Septiembre 2027,6.116
30000006,Octubre 2027,8.7
30000006,Noviembre 2027,8.748
30000006,Diciembre 2027,10.379
30000010,Enero 2026,61.963
30000010,Febrero 2026,46.489
30000010,Marzo 2026,56.925
30000010,Abril 2026,43.739
30000010,Mayo 2026,41.835
30000010,Junio 2026,28.962
30000010,Julio 2026,44.519
30000010,Agosto 2026,44.63
30000010,Septiembre 2026,31.341
30000010,Octubre 2026,40.116
30000010,Noviembre 2026,41.751
30000010,Diciembre 2026,45.3
30000010,Enero 2027,53.078
30000010,Febrero 2027,50.125
30000010,Marzo 2027,45.676
30000010,Abril 2027,38.828
30000010,Mayo 2027,36.482
30000010,Junio 2027,32.171
30000010,Julio 2027,34.89
30000010,Agosto 2027,35.649
30000010,Septiembre 2027,27.257
30000010,Octubre 2027,38.773
30000010,Noviembre 2027,38.986
30000010,Diciembre 2027,46.256
30000013,Enero 2026,6.84
30000013,Febrero 2026,6.08
30000013,Marzo 2026,4.56
30000013,Abril 2026,2.28
30000013,Mayo 2026,9.12
30000013,Julio 2026,6.84
30000013,Septiembre 2026,3.0
30000013,Octubre 2026,3.0
30000013,Noviembre 2026,3.0
30000013,Diciembre 2026,3.0
30000013,Enero 2027,6.84
30000013,Febrero 2027,6.08
30000013,Marzo 2027,4.56
30000013,Abril 2027,2.28
30000013,Mayo 2027,9.12
30000013,Julio 2027,5.05
30000013,Agosto 2027,3.0
